,attraction_id,attraction_name,total_upcoming_attraction_events,upcoming_attraction_ticketmaster_events,attraction_genre
151,K8vZ9171lrV,Godspeed You! Black Emperor,4,2,Rock
152,K8vZ91711If,Mindi Abair,13,7,Jazz
153,K8vZ917bxnf,Eric D'Alessandro,5,4,Comedy
154,K8vZ917pOjV,Mario Aguilar,1,1,Undefined
155,K8vZ917bFUf,Peekaboo,9,6,Dance/Electronic
156,K8vZ9171oN7,Sergio Mendes,3,2,World
157,K8vZ917G-90,David Guetta,3,2,Dance/Electronic
158,K8vZ917btLf,Our Planet Live In Concert,12,12,Classical
159,K8vZ917uS9V,Bob Anderson,3,3,Undefined
160,K8vZ917GcUV,Tooloji,1,1,Undefined
161,K8vZ9171KHf,Rick Braun,6,2,Jazz
162,K8vZ917Gylf,Jerrod Niemann,2,2,Country
163,K8vZ917Q6h0,Celebrating Billy Joel,3,3,Undefined
164,K8vZ91718A7,Chubby Checker,4,4,Rock
165,K8vZ9175EoV,Madeleine Peyroux,18,12,Jazz
166,K8vZ917u8xf,Pokey LaFarge,9,7,Rock
167,K8vZ917QTp0,Sunset Rubdown,2,2,Rock
168,K8vZ9178qO7,Parmalee,4,2,Country
169,K8vZ91742sV,PRCA Championship Rodeo,14,5,Rodeo
170,K8vZ9171VBf,Cold,25,12,Rock
171,K8vZ917f8if,DJ TGIF,2,2,Hip-Hop/Rap
172,K8vZ91712G0,KMFDM,5,4,Rock
173,K8vZ917_QCV,KiNG MALA,2,2,Pop
174,K8vZ9171_xf,Natalie MacMaster,5,5,Folk
175,K8vZ917pem0,Meute,2,1,Dance/Electronic
176,K8vZ917KAa7,Lost Kings,2,2,Dance/Electronic
177,K8vZ917u7B7,Dopapod,2,NA,R&B
178,K8vZ917KWgV,American Idiot,3,3,Theatre
179,K8vZ917oaYf,Dabin,5,4,Dance/Electronic
180,K8vZ9171f20,Gary Puckett,7,7,Rock
181,K8vZ917QWBV,Club 90s Midnight Memories 1D Night,2,2,Pop
182,K8vZ91713jf,Jesus Christ Superstar,96,NA,Theatre
183,K8vZ91714Xf,Jo Dee Messina,5,5,Country
184,K8vZ917Ggs7,Mike Zito,4,3,Blues
185,K8vZ9175IKf,Kasabian,16,16,Rock
186,K8vZ917GEoV,Jim Messina,5,3,Rock
187,K8vZ9171EE0,North Mississippi Allstars,5,3,Blues
188,K8vZ917QSff,Kizuna AI Original Singeroid #kzn,18,17,Pop
189,K8vZ917Qna0,Andi,5,5,Pop
190,K8vZ917b3jf,Boulet Brothers,2,2,Performance Art
191,K8vZ91711k7,Arturo Sandoval,14,3,Jazz
192,K8vZ9175ipV,KT Tunstall,17,16,Folk
193,K8vZ9171QsV,The Residents,6,4,Rock
194,K8vZ9179YTf,Neal Francis,15,6,Rock
195,K8vZ917Kvqf,Dayseeker,24,12,Rock
196,K8vZ9171oL7,Richard Elliot,3,3,Jazz
197,K8vZ9175TaV,Escape the Fate,20,15,Metal
198,K8vZ91731M7,Kelela,1,1,R&B
199,K8vZfZ7EJtk,Mike Dean,8,NA,Dance/Electronic
